table,dataset,method_variant,method,source_layer,result_dir,trial_count,headline_or_supplementary,gt_use,notes
T3_rate_main.csv,COHFACE,Base,profile1D quadratic,20260409_cohface_observation_class_full_dataset,/home/gongjae/Projects/resPyre/results/20260409_cohface_prod_ofbridge_dofbridge_p1dcons_e2e_policy_narrow/cohface_parh_ossm_prod_ofbridge_dofbridge_p1dcons,160,headline,evaluation_only,Base and OSSM-KF rows extracted on the same final full-dataset trial IDs; PARH from the integrated full-dataset run.
S_T_final_observation_class_comparison.csv,COHFACE,class-local PARH,profile1d_linear__parh_ossm,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,COHFACE,Base,profile1D quadratic,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,COHFACE,OSSM-KF,profile1d_quadratic__ossm_kf,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,COHFACE,class-local PARH,profile1d_quadratic__parh_ossm,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,COHFACE,Base,profile1D cubic,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,COHFACE,OSSM-KF,profile1d_cubic__ossm_kf,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,COHFACE,class-local PARH,profile1d_cubic__parh_ossm,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,COHFACE,Base,profile1d_consensus,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,COHFACE,OSSM-KF,profile1d_consensus__ossm_kf,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,COHFACE,class-local PARH,profile1d_consensus__parh_ossm,20260409_cohface_observation_class_full_dataset,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,COHFACE,PARH-OSSM,parh_ossm,final_full_validation/cohface,,160,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,Base,of_farneback,20260409_mahnob_observation_class_full_dataset,,525,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,OSSM-KF,of_farneback__ossm_kf,20260409_mahnob_observation_class_full_dataset,,525,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,class-local PARH,of_farneback__parh_ossm,20260409_mahnob_observation_class_full_dataset,,525,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,Base,of_disp_bridge,20260409_mahnob_observation_class_full_dataset,,525,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,OSSM-KF,of_disp_bridge__ossm_kf,20260409_mahnob_observation_class_full_dataset,,525,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,class-local PARH,of_disp_bridge__parh_ossm,20260409_mahnob_observation_class_full_dataset,,525,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,Base,DoF,20260409_mahnob_observation_class_full_dataset,,525,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,OSSM-KF,dof__ossm_kf,20260409_mahnob_observation_class_full_dataset,,525,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,class-local PARH,dof__parh_ossm,20260409_mahnob_observation_class_full_dataset,,525,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,Base,dof_disp_bridge,20260409_mahnob_observation_class_full_dataset,,525,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,OSSM-KF,dof_disp_bridge__ossm_kf,20260409_mahnob_observation_class_full_dataset,,525,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,class-local PARH,dof_disp_bridge__parh_ossm,20260409_mahnob_observation_class_full_dataset,,525,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,Base,profile1D linear,20260409_mahnob_observation_class_full_dataset,,488,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,OSSM-KF,profile1d_linear__ossm_kf,20260409_mahnob_observation_class_full_dataset,,488,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,class-local PARH,profile1d_linear__parh_ossm,20260409_mahnob_observation_class_full_dataset,,488,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,Base,profile1D quadratic,20260409_mahnob_observation_class_full_dataset,,488,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,OSSM-KF,profile1d_quadratic__ossm_kf,20260409_mahnob_observation_class_full_dataset,,488,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,class-local PARH,profile1d_quadratic__parh_ossm,20260409_mahnob_observation_class_full_dataset,,488,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,Base,profile1D cubic,20260409_mahnob_observation_class_full_dataset,,488,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,OSSM-KF,profile1d_cubic__ossm_kf,20260409_mahnob_observation_class_full_dataset,,488,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,class-local PARH,profile1d_cubic__parh_ossm,20260409_mahnob_observation_class_full_dataset,,488,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,Base,profile1d_consensus,20260409_mahnob_observation_class_full_dataset,,488,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,OSSM-KF,profile1d_consensus__ossm_kf,20260409_mahnob_observation_class_full_dataset,,488,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,class-local PARH,profile1d_consensus__parh_ossm,20260409_mahnob_observation_class_full_dataset,,488,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
S_T_final_observation_class_comparison.csv,MAHNOB,PARH-OSSM,parh_ossm,final_full_validation/mahnob_tailaligned,,525,supplementary,evaluation_only,Transparent observation-class diagnostic/support comparison; not a target-tuned selector.
