check,severity,status,path,detail
active_stale_token_absent,error,pass,execute.md,stale_token='target_reliability_no_go_20260427'
active_stale_token_absent,error,pass,execute.md,stale_token='robust_model_correction_plan_20260427'
active_stale_token_absent,error,pass,execute.md,stale_token='source_supervised_reliability_probe_summary_20260427'
active_stale_token_absent,error,pass,execute.md,stale_token='mahnob_tailaligned_cohort_penalty_fixedbank_bounded10_light_summary_20260427'
active_stale_token_absent,error,pass,execute.md,stale_token='target_reliability_graph_report_20260429'
active_stale_token_absent,error,pass,execute.md,stale_token='target_reliability_graph_parh_probe_20260429'
active_stale_token_absent,error,pass,execute.md,stale_token='windowed_target_reliability_graph_report_20260429'
active_stale_token_absent,error,pass,execute.md,stale_token='mahnob_failure_mode_decomposition_20260429'
active_stale_token_absent,error,pass,execute.md,stale_token='analysis/*20260427*'
active_stale_token_absent,error,pass,execute.md,stale_token='tab:target_reliability_probe'
active_stale_token_absent,error,pass,execute.md,stale_token='0.145\\pm1.54'
active_stale_token_absent,error,pass,execute.md,stale_token='0.911\\pm0.08'
execute_consistency_gate,error,pass,execute.md,token='paper_code_consistency_audit'
execute_consistency_gate,error,pass,execute.md,token='audit_paper_code_consistency.py'
execute_consistency_gate,error,pass,execute.md,token='integrated PARH-OSSM complete-cohort'
